Airport_code,Airport_names,Note
ANC,Anchorage International Airport,
AUS,Austin Bergstrom International Airport,
BFI,King County International Airport,Boeing Field
BOS,Boston Logan International Airport,
DFW,Dallas Fort Worth International Airport,
DTW,Detroit Metropolitan Airport,
EWR,Newark International Airport,
GUM,Antonio B. Won Pat International Airport,Guam International Airport
HNL,Honolulu International Airport,
IAD,Washington Dulles International Airport,
IAH,Houston George Bush Intercontinental Airport,
JFK,New York John F Kennedy International Airport,
LAS,Las Vegas McCarran International Airport,
LAX,Los Angeles International Airport,
ORD,Chicago O'Hare International Airport Airport,
SEA,Seattle Tacoma International Airport,
SFO,San Francisco International Airport,
SJC,San Jose International Airport,
SPN,Saipan International Airport,"A public airport located on Saipan Island in the United States Commonwealth of the Northern Mariana Islands, near Guam"
TUL,Tulsa International Airport,